Tên xe,Loại xe + Năm SX,Năm sản xuất:,Giá xe (VNĐ),Số Km (số),Nơi bán,Liên hệ,Ngày đăng,Lượt xem,Link xe,Tình trạng:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Rolls Royce Ghost 6.6 V12 - 2010,Xe cũ - 2010,2010,4350000000,0,Hà Nội,"LH: Diamond Luxury Car 45, 46 D11, Glemxico, Lê Trọng Tấn, Hoài Đức, Hà Nội ĐT:",12/11/2025,1,https://bonbanh.com/xe-rolls_royce-ghost-6.6-v12-2010-6281052,Xe đã dùng,Nhập khẩu,Sedan,Xăng  6.6 L,Đen,Đỏ,4 chỗ,4 cửa
Porsche Panamera 3.6 V6 - 2015,Xe cũ - 2015,2015,1590000000,48000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,2,https://bonbanh.com/xe-porsche-panamera-3.6-v6-2015-6464825,Xe đã dùng,Nhập khẩu,Sedan,Xăng  3.6 L,Trắng,Kem,4 chỗ,4 cửa
Toyota Camry 2.5HV - 2022,Xe cũ - 2022,2022,1255000000,28300,Hà Nội,LH: Trang Nguyen 8 Ngô Gia Tự Long Biên ĐT:,12/11/2025,1,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-6521553,Xe đã dùng,Nhập khẩu,Sedan,Hybrid  2.5 L,Trắng,Kem,5 chỗ,4 cửa
Honda CRV G - 2019,Xe cũ - 2019,2019,695000000,64000,Hà Nội,LH: Trang Nguyen 8 Ngô Gia Tự Long Biên ĐT:,12/11/2025,1,https://bonbanh.com/xe-honda-crv-g-2019-6523910,Xe đã dùng,Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
Porsche Macan 2.0 - 2021,Xe cũ - 2021,2021,2790000000,40000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,1,https://bonbanh.com/xe-porsche-macan-2.0-2021-6259413,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa
Volkswagen Viloran Luxury - 2024,Xe cũ - 2024,2024,2190000000,12000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,1,https://bonbanh.com/xe-volkswagen-viloran-luxury-2024-6388570,Xe đã dùng,Nhập khẩu,Van/Minivan,Xăng  2.0 L,Vàng,Kem,7 chỗ,5 cửa
Lexus LX 570 - 2015,Xe cũ - 2015,2015,3188000000,110000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,3,https://bonbanh.com/xe-lexus-lx-570-2015-6498824,Xe đã dùng,Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
LandRover Range Rover Sport Dynamic SE P400 3.0 AT - 2022,Xe cũ - 2022,2022,5930000000,14000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,2,https://bonbanh.com/xe-landrover-range_rover_sport-dynamic-se-p400-3.0-at-2022-6448084,Xe đã dùng,Nhập khẩu,SUV,Xăng  3.0 L,Trắng,Đỏ,7 chỗ,5 cửa
Lexus LX 570 - 2015,Xe cũ - 2015,2015,3190000000,110000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,2,https://bonbanh.com/xe-lexus-lx-570-2015-6468388,Xe đã dùng,Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
Toyota Alphard Executive Lounge - 2019,Xe cũ - 2019,2019,3050000000,66000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,3,https://bonbanh.com/xe-toyota-alphard-executive-lounge-2019-6502653,Xe đã dùng,Nhập khẩu,Van/Minivan,Xăng  3.5 L,Đen,Đen,7 chỗ,5 cửa
